rank,paper_id,title,applicability,in_scope_groups,clean_accuracy_source_target_separate,f1_reason,transfer_denominator_clean_correct,f2_reason,conditions_on_source_attack_success,f3_reason,reports_absolute_counts,f4_reason,numeric_linf_or_l2_budget,f5_reason,artifacts_sufficient_to_recompute,f6_reason,f2_any_explicit_yes,f2_any_explicit_no,f3_any_explicit_yes,f3_any_explicit_no,artifact_review,bounds_review,review_file_sha256
11,48640ef269ffeb3e19c961de2eeca027a30841d8,Adversarial Attack and Defense on Graph Data: A Survey,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,not_applicable_author_literature_resource_accessible,not_applicable_no_original_cross_model_attack_evaluation,018a41dca56ec68525155ce67d4429311b2c12345aeb9e236a4c54a515841efc
12,8ecdbfe011b7189fa0ee49ffc4e42a93d728a371,On Evaluating Adversarial Robustness of Large Vision-Language Models,other_attack_outcome_targeted_vlm_text_generation,1,unclear,no_clean_accuracy_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,unclear,continuous_averaged_outcome_sample_size_unstated,yes,explicit_linf_radius_all_results,unclear,release_accessible_conditioning_quantities_undefined_sample_unverified,False,False,False,False,reviewed_release_accessible_sufficiency_unclear,not_applicable_continuous_targeted_generation_outcome,ee5d83d0fb020bd98633c473fdc08f211ad3833eefb00eef63644ce431840a84
13,2fb43a4c5cab8215d510fc585ca81fb5ee8a3abb,Skip Connections Matter: On the Transferability of Adversarial Examples Generated with ResNets,cross_model_classification_attack,3,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,averaged_rates_do_not_establish_all_exact_counts,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,reviewed_clean_baseline_missing,bbf1b93758e85e08d97fa1508ed5b9b855ce3e1c1a582b829ee184eec1c813ac
14,27d2f8a0601ce4bd73339ddffc83977e858c5503,DPATCH: An Adversarial Patch Attack on Object Detectors,other_attack_outcome_object_detection_patch,2,unclear,detection_map_baselines_partial_coco_source_unreported,unclear,unresolved_scope,unclear,unresolved_scope,unclear,detection_ap_outcome_counts_not_applicable,no,explicit_patch_attack_without_linf_l2_budget,unclear,unlinked_partial_release_yolo_only,False,False,False,False,reviewed_unlinked_partial_release,not_applicable_detection_map_outcome,8f32278ec377b0e1d70a0a48afaf65f67b013995436aeae9dd90c7a039ce142e
15,e3dacba4399fc66f31779060db730ea423f341d8,AdvHat: Real-World Adversarial Attack on ArcFace Face ID System,cross_model_face_recognition_physical_attack_similarity_outcome,1,unclear,no_clean_accuracy_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,unclear,continuous_boxplot_outcome_no_rates,no,explicit_physical_sticker_attack_without_linf_l2_budget,unclear,code_released_evaluation_inputs_not_released,False,False,False,False,reviewed_code_released_inputs_unreleased,not_applicable_similarity_outcome_no_rates,99e97d286f2a9e3f061b6ab5d000261075521e927e317bea2c705a8456ca6d34
16,b18580c6746a47603955074931d4687e268781ea,Feature Importance-aware Transferable Adversarial Attacks,cross_model_classification_attack,2,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_and_aggregation_not_fully_established,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,reviewed_clean_baseline_missing,be86994ac9a789d67043798baa94b4259b2f39e58b1244ca6d817529e3598eb6
17,3636d3f0562f3ab5f5df68c1c9a23530c0fbce64,Parametric Noise Injection: Trainable Randomness to Improve Deep Neural Network Robustness Against Adversarial Attack,cross_model_classification_attack,2,unclear,partial_separate_clean_values,unclear,unresolved_scope,unclear,unresolved_scope,unclear,averaged_rates_and_unstated_population,unclear,substitute_attack_budget_unstated,unclear,release_lacks_transfer_configuration,False,False,False,False,reviewed_release_lacks_transfer_configuration,reviewed_population_alignment_unresolved,9cce67c1e1c5d9924a6d23b324aaa3391fa0d677b439c151305c6b7587ac33a4
18,7610bcc3444c824a25f5c3779c097a9bdd4c185a,A Survey on Safety-Critical Driving Scenario Generation—A Methodological Perspective,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,not_applicable_survey_without_experiments,not_applicable_no_original_cross_model_attack_evaluation,0e92ceb3386afdfe6214736be1c81cf37b566bff464c39b0ddb2a251bac6b810
19,edabab811aaf44b7b626efe5278a32bddd3bb77f,Improving Black-box Adversarial Attacks with a Transfer-based Prior,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,not_applicable_no_transfer_configuration,not_applicable_query_attacks_only,081d60fd4d5437f1b7af01ddbe1b27810dfa54424c5692934a7c6bc8cf981ee0
20,90dcaf5b7ded95f61666711aa94a59eae77bc304,Enhancing Adversarial Example Transferability With an Intermediate Level Attack,cross_model_classification_attack,4,unclear,partial_separate_clean_values,unclear,unresolved_scope,unclear,unresolved_scope,unclear,one_decimal_rates_do_not_identify_counts,unclear,imagenet_torchvision_budget_unstated,unclear,candidate_release_sufficiency_unverified,False,True,False,True,candidate_release_sufficiency_unverified,reviewed_cifar10_candidate_extraction_deferred,87dc91a35adef04827fb4c6d5c038e4ad64144db915babfa9ef8a906c87e14b0
21,558f7fa8c8e909e7aa67b20d41ba5896b68dcf54,Admix: Enhancing the Transferability of Adversarial Attacks,cross_model_classification_attack,3,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_and_aggregation_not_fully_established,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,reviewed_clean_baseline_missing,abf6356f3cb43feab6483b681bcd97d292e23c12b938c00b0cb37d7c6863dfd9
22,be4a4f7f65d397a4e07dc83b95da6b414e0634e2,Adversarial Examples that Fool both Computer Vision and Time-Limited Humans,cross_model_classification_attack_plus_human_observer_transfer,2,yes,separate_model_values,unclear,unresolved_scope,yes,all_scopes_explicit_yes,unclear,denominators_not_stated_for_rates,yes,explicit_linf_radius_all_results,unclear,no_release_custom_checkpoints,False,False,True,False,reviewed_no_release_custom_checkpoints,not_applicable_source_success_conditioned_targeted_outcome,bfcaf6cf542a2cacc34aa76cffbaa263435c453c8128c41d147060fb26b9dc45
23,8680c075abfb7832ff1321b5f409f2a5e57570f2,Frequency Domain Model Augmentation for Adversarial Attack,cross_model_classification_attack,3,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_and_aggregation_not_fully_established,yes,explicit_linf_radius_all_results,unclear,release_executed_historically_manifest_unverified,False,False,False,False,historical_run_archived_manifest_unverified,reviewed_clean_baseline_missing,bc47c1c98fbf4bf15faf16e5407ae6624c9bf35ffe0b7f69d98b091e8834ffb8
24,43e51c1bfd69df518e2907f7a955e485985ba423,On the Robustness of Vision Transformers to Adversarial Examples,cross_model_classification_attack,2,unclear,partial_separate_clean_values,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_unique_reconstruction,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,True,False,False,True,candidate_release_sufficiency_unverified,reviewed_jointly_clean_cohort_no_subtraction,14511f8149ac0177a60333f1ca5d35f9bbd809ccd5a1b6e366cbc3fc5f3ebe99
25,717425092f2e7a2a00c98e8e1778036e9b5a8b4e,NATTACK: Learning the Distributions of Adversarial Examples for an Improved Black-Box Attack on Deep Neural Networks,cross_model_classification_attack,1,yes,separate_model_values,unclear,unresolved_scope,yes,all_scopes_explicit_yes,unclear,stated_denominator_inconsistent_with_values,yes,explicit_linf_radius_all_results,unclear,release_lacks_transfer_evaluation_code,False,False,True,False,reviewed_release_lacks_transfer_evaluation_code,not_applicable_source_success_conditioned,9d2811278ff076e05c264513ec99cb8390f0f6fafb63d22e593ad81045e36085
26,7005fe514458b538b7516b41af5f5e1971154070,Adversarial vulnerability for any classifier,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,not_applicable_no_transfer_configuration,not_applicable_no_original_cross_model_attack_evaluation,585e1a2b2139468ac7b3d7222a9d84eb7abcbe38ed9d3fbf0b119a331b225cde
27,287e82b08cc5b8c8aae03825b466fcb73860b0c4,Data-Free Model Extraction,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,not_applicable_no_transfer_configuration,not_applicable_no_original_cross_model_attack_evaluation,290c7a0f75d1d5ca3410f473a7985a2dd90564c6cd7ca2d7ef9d3cdb0d0ffba1
28,8bf18d546ae7aea144663136c5704049953ce4e2,SparseFool: A Few Pixels Make a Big Difference,cross_model_classification_attack,1,yes,separate_model_values,no,all_scopes_explicit_no,no,all_scopes_explicit_no,unclear,one_decimal_rates_do_not_identify_counts,no,explicit_sparse_attack_without_linf_l2_budget,unclear,transfer_sample_and_evaluator_not_released,False,True,False,True,reviewed_transfer_sample_not_released,not_applicable_prediction_change_outcome,bb7808aa4d462569c372fe4eeb3c939ef1aa6b566918a3ffd7ddbdbfecefe496
29,d5d7ce70a6618393176f254d5617b3bb070003cd,Exploring Adversarial Examples in Malware Detection,cross_model_classification_attack_binary_malware_detection,1,unclear,partial_separate_clean_values,yes,all_scopes_explicit_yes,yes,all_scopes_explicit_yes,unclear,bounded_counts_conditioned_denominators_unstated,no,explicit_byte_modification_threat_model_without_input_lp_radius,unclear,proprietary_model_and_data_no_release,True,False,True,False,reviewed_proprietary_no_release,not_applicable_clean_correct_and_source_success_conditioned,079671b0214386567b341f22726a99b8b5bb466791c4e655ebf1ee284a3b0584
30,9f4c17aebbb181756fab86ade02deadd90d5d4f9,How Robust is Google's Bard to Adversarial Image Attacks?,other_attack_outcome_commercial_mllm_image_description_and_filters,4,unclear,no_clean_accuracy_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,yes,unique_reconstruction_known_denominators,yes,explicit_linf_radius_all_results,unclear,hosted_targets_and_judgments_unreleased,False,True,False,False,reviewed_hosted_targets_judgments_unreleased,not_applicable_hosted_nonclassification_analog_not_extracted,6a4eb28066972d1bb618fb7b2502efb9a8061033566beedac0076010233f7754
31,14a865278845d5a51e3b181f322e993397650b48,Feature Space Perturbations Yield More Transferable Adversarial Examples,cross_model_classification_attack,4,yes,separate_model_values,yes,all_scopes_explicit_yes,unclear,mixed_explicit,unclear,filtered_denominators_not_recovered,unclear,supplement_scope_budget_ambiguous,unclear,original_artifact_sufficiency_unestablished,True,False,True,True,reviewed_sufficiency_unclear,reviewed_no_new_numeric_extraction,11051d9d1fab8dc74db28b370bdd699c291b1fc9ce3340cf086553c6815e424d
32,b4196762025fb50eb3fdf521702d70f94e270b40,Patch-wise Attack for Fooling Deep Neural Network,cross_model_classification_attack,3,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_and_aggregation_not_fully_established,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,reviewed_fd_clean_error_already_subtracted,a0240ca1e84300ff7835b0cb65ea41622883bbdefd21e56a12b77e6d3e393009
33,a5fd689c0890fa15fcdc3d97e805d38d342ed524,Towards Transferable Adversarial Attack Against Deep Face Recognition,cross_model_face_verification_attack,3,unclear,partial_separate_clean_values,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_unique_reconstruction,unclear,talfw_budget_unstated_measured_norm_only,unclear,released_adversarial_benchmark_source_side_unavailable,False,True,False,True,reviewed_benchmark_released_source_side_unavailable,reviewed_targeted_or_threshold_selected_not_extracted,eda7dacb6189f21bae4bd99a501a8cb1d04d11d538bc69bb1d99d6320b8aaaf1
34,7cf2cfd10b4f9e99f22efdaa45c7d55ee59ffa79,Adv-Makeup: A New Imperceptible and Transferable Attack on Face Recognition,cross_model_face_verification_attack,2,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,stated_denominator_inconsistent_with_values,no,explicit_generative_region_attack_without_linf_l2_budget,unclear,candidate_release_sufficiency_unverified,False,False,False,True,candidate_release_sufficiency_unverified,not_applicable_targeted_impersonation,5dd01191189855a18e1f24c3362c6ebf920e5c8d3ed5ce6bcfa4db639b73e4a7
35,6e85c80aae6457a76bb719c2d2d303abcc682a29,Interpretable Deep Learning under Fire,other_attack_outcome_interpretation_maps,1,unclear,no_clean_accuracy_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,unclear,continuous_outcome_sample_size_unstated,yes,explicit_linf_radius_all_results,unclear,code_release_transfer_configuration_unverified,False,False,False,False,reviewed_code_release_transfer_configuration_unverified,not_applicable_interpretation_distance_outcome,8f47552e4acd29220f0af770a91d898aeeb8d7bd7b45a19f02670528dffafa29
36,4d548fd21aad60e3052455e22b7a57cc1f06e3c3,CloudLeak: Large-Scale Deep Learning Models Stealing Through Adversarial Examples,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,not_applicable_no_transfer_configuration,not_applicable_no_original_cross_model_attack_evaluation,a98e7adc1a5cda3f1d784054801700b29bf1284846b317a7cb3fed1ec0de4a8a
37,5effd428e3012061ba3d8b32f1952c2938c7ab7b,Deep Neural Network Fingerprinting by Conferrable Adversarial Examples,cross_model_classification_attack_targeted_fingerprint,2,unclear,partial_separate_clean_values,unclear,unresolved_scope,yes,all_scopes_explicit_yes,unclear,averaged_rates_fingerprint_size_unstated,yes,explicit_linf_radius_all_results,unclear,no_author_release_located,False,False,True,False,reviewed_no_author_release,not_applicable_source_success_conditioned_targeted_outcome,3e6ab01056f685e6b4beebc743081d09aed8318bb1e52b022be48f50cf8b64d7
38,a9682a89b2fef793507c365a577f1521745db96c,Boosting the Transferability of Adversarial Samples via Attention,cross_model_classification_attack,3,unclear,defended_target_clean_accuracy_not_reported,unclear,unresolved_scope,no,all_scopes_explicit_no,unclear,nonintegral_cell_and_figure_values,yes,explicit_linf_radius_all_results,unclear,no_release_linked_attack_code_not_located,False,True,False,True,reviewed_no_release_located,reviewed_table1_extraction_rechecked_ensemble_rows_separated,dae31a9ba540892d79751be71546a9acc6e24e46238f925281b71fc793470834
39,bc1138738f24c4a23d865d7786fc4c8229e4662a,Cross-Domain Transferability of Adversarial Perturbations,cross_model_classification_attack,4,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,one_or_two_decimal_rates_do_not_identify_counts,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,True,False,True,candidate_release_sufficiency_unverified,reviewed_error_increase_already_subtracted,bb22cd793ac28f1832c997072e285b8801555bdd47d2897f0b590b64b610caad
40,d8f64187b447d1b64f69f541dbbaec71bd79d205,ActiveThief: Model Extraction Using Active Learning and Unannotated Public Data,cross_model_classification_attack_extracted_substitute,1,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,yes,explicit_fgsm_linf_radius,unclear,release_lacks_transfer_evaluation_code,False,False,False,False,reviewed_release_lacks_transfer_evaluation,not_eligible_clean_baseline_missing,80e06e1246eb0db5763fcbc5a6d95d4ae0e7cca2a0b8365c67c78b325c8d872b
41,54c15364b5873e39257c221112fdf22299ed9e8a,Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,cross_model_classification_attack,1,unclear,separate_clean_values_not_located,yes,all_scopes_explicit_yes,unclear,unresolved_scope,unclear,stated_denominator_inconsistent_with_values,no,explicit_minimum_perturbation_attacks_without_radius,unclear,release_evaluator_differs_from_described_protocol,True,False,False,False,reviewed_release_evaluator_differs_from_described_protocol,not_applicable_clean_correct_conditioned,baaa17d2c3c486e5bc4c65a25dfd486766b3da3781469a0391761597fb4787f8
42,29fbf409aaad5e3a0f3468c44637a140dc2c545b,Stochastic Variance Reduced Ensemble Adversarial Attack for Boosting the Adversarial Transferability,cross_model_classification_attack,3,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,averaged_rates_denominator_unstated,yes,explicit_linf_radius_all_results,unclear,partial_release_example_only,False,False,False,False,reviewed_partial_release_example_only,not_eligible_clean_baseline_missing,44b0d2da4bdc572e434139390897f03379deb99ebb51543562fc12408e3621a2
43,6be44364db3a46ab5fcf8172910650b210cc5c39,Black-box Adversarial Attacks on Video Recognition Models,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,reviewed_not_applicable,not_applicable_to_located_results,b48e5b333bc2e22b81b367e4600104e1b2956799737461019bd936e8f1613f90
44,ccc39584c2bbabc190aff1e7fce888590633850f,On Success and Simplicity: A Second Look at Transferable Targeted Attacks,cross_model_classification_attack_targeted,6,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_scope_counts_only,unclear,mixed_explicit_linf_and_explicit_unbounded,unclear,candidate_release_sufficiency_unverified,True,False,False,False,candidate_release_sufficiency_unverified,not_eligible_targeted_or_conditioned,ec185f586c52a23857587cbf896912b7b5fb367afe7594dd2e35c29c928246d1
45,e1be974b7e1e7a381719d5c250ced83f3a6b96ee,Disrupting Deepfakes: Adversarial Attacks Against Conditional Image Translation Networks and Facial Manipulation Systems,other_attack_outcome_image_translation_disruption,2,unclear,no_clean_accuracy_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,unclear,one_decimal_rates_over_large_denominator_or_graphical,unclear,budget_not_stated_for_all_scopes,unclear,code_release_transfer_configuration_unverified,False,False,False,False,reviewed_code_release_unverified,not_applicable_different_outcome,3856f2c9f0fd151de5f9145200aef236ddd7fdda961b708fe40108c9c1b2a0a4
46,67e856f76905f2269089cede51c9a6a7c4fd2f8c,Learning Transferable Adversarial Examples via Ghost Networks,cross_model_classification_attack,4,unclear,graphical_clean_accuracy_only,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_scope_counts_only,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,True,False,False,False,candidate_release_sufficiency_unverified,not_applicable_clean_correct_conditioned,992d17f95072ba66ce00dc252b5721669d102a0e146a930d370beb7c37c7f9cd
47,3c2622daa8a658d5c85ea9869cb460a70b0f878d,Towards Transferable Adversarial Attacks on Vision Transformers,cross_model_classification_attack,4,unclear,separate_clean_values_not_located,unclear,unresolved_scope,no,all_scopes_explicit_no,unclear,averaged_rates_not_single_proportions,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,True,False,False,True,candidate_release_sufficiency_unverified,not_applicable_clean_correct_conditioned,483350fe8b50f5c215f31189c981e91d848edf83e621130db3e4ffd4a064933b
48,ceea8f55954b87d57be4ca7247f66d21da234426,Adversarial Attack Vulnerability of Medical Image Analysis Systems: Unexplored Factors,cross_model_classification_attack_auc_outcome,4,yes,clean_performance_reported_same_test_set_all_targets,unclear,unresolved_scope,unclear,unresolved_scope,unclear,continuous_outcome_counts_not_applicable,yes,explicit_linf_radius_all_results,unclear,candidate_release_sufficiency_unverified,False,False,False,False,candidate_release_sufficiency_unverified,not_applicable_different_outcome_auc,32b3323583ae198ac37ad0f08219eeaf7cf3c0774a5d4a09442402d8d7568180
49,12ccfc188de0b40c84d6a427999239c6a379cd66,Sparse Adversarial Perturbations for Videos,cross_model_video_classification_attack,1,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,no,explicit_penalty_objective_without_radius,unclear,no_author_release_linked,False,False,False,False,reviewed_no_author_release,not_eligible_clean_baseline_missing,911c9a64f3ac733aa9bc82b16e060feddabf297f3c955d7b2522b4ba4f06cc3e
50,09812e529903ff67c5fc5f1dcb2b3586eb3ffd23,Is LLM-as-a-Judge Robust? Investigating Universal Adversarial Attacks on Zero-shot LLM Assessment,other_attack_outcome_llm_assessment_score,2,unclear,no_clean_accuracy_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,unclear,continuous_outcome_counts_not_applicable,no,explicit_token_count_budget_not_lp,unclear,code_release_hosted_target_unverified,False,False,False,False,reviewed_code_release_hosted_target_unverified,not_applicable_different_outcome,e055176d8914a5e2686aabd1c3e0c34140b2352d4e6ab1af573b8361bdc6e66b
51,d4473a41c9f7b4095599bec14ea0a88e7041e737,Improving Adversarial Robustness of Ensembles with Diversity Training,cross_model_classification_attack_defense_evaluation,1,yes,separate_clean_values_all_targets,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_unstated,yes,explicit_linf_radius_all_results,unclear,no_author_release_located,False,False,False,False,reviewed_no_author_release,candidate_population_match_unstated,04e928b16c3073f354b47999a0a341f032005e3f792c870925f724a1d9c1c078
